Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1764122354.160597,4861,0,1
1,NewOrder,1764122354.165476,2691,0,1
2,Payment,1764122354.168184,1957,0,1
2,Payment,1764122354.170159,1674,0,1
4,Delivery,1764122354.171849,7262,0,1
1,NewOrder,1764122354.179123,2431,0,1
1,NewOrder,1764122354.181557,4261,0,1
5,StockLevel,1764122354.185848,1751,0,1
2,Payment,1764122354.187615,2094,0,1
2,Payment,1764122354.189719,5895,0,1
2,Payment,1764122354.195620,6252,0,1
1,NewOrder,1764122354.201892,6474,0,1
2,Payment,1764122354.208396,6069,0,1
2,Payment,1764122354.214479,5741,0,1
3,OrderStatus,1764122354.220229,766,0,1
2,Payment,1764122354.221005,5767,0,1
1,NewOrder,1764122354.226785,6806,0,1
1,NewOrder,1764122354.233606,6191,0,1
1,NewOrder,1764122354.239814,7467,0,1
2,Payment,1764122354.247292,5472,0,1
2,Payment,1764122354.252772,6310,0,1
2,Payment,1764122354.259092,5305,0,1
1,NewOrder,1764122354.264403,7611,0,1
1,NewOrder,1764122354.272021,7942,0,1
1,NewOrder,1764122354.279989,8351,0,1
2,Payment,1764122354.288363,5517,0,1
4,Delivery,1764122354.293899,9426,0,1
4,Delivery,1764122354.303339,8107,0,1
1,NewOrder,1764122354.311468,2923,0,1
1,NewOrder,1764122354.314408,2982,0,1
2,Payment,1764122354.317402,1578,0,1
1,NewOrder,1764122354.318988,2776,0,1
1,NewOrder,1764122354.321770,3651,0,1
4,Delivery,1764122354.325427,7306,0,1
1,NewOrder,1764122354.332743,3586,0,1
2,Payment,1764122354.336337,1348,0,1
2,Payment,1764122354.337690,1492,0,1
1,NewOrder,1764122354.339191,2621,0,1
2,Payment,1764122354.341832,1654,0,1
2,Payment,1764122354.343491,1111,0,1
4,Delivery,1764122354.344617,5737,0,1
1,NewOrder,1764122354.350361,2926,0,1
1,NewOrder,1764122354.353294,4234,0,1
2,Payment,1764122354.357535,1699,0,1
2,Payment,1764122354.359238,1974,0,1
4,Delivery,1764122354.361233,9114,0,1
1,NewOrder,1764122354.370368,5323,0,1
1,NewOrder,1764122354.375711,4086,0,1
2,Payment,1764122354.379816,1579,0,1
4,Delivery,1764122354.381405,6351,0,1
4,Delivery,1764122354.387769,6434,0,1
2,Payment,1764122354.394223,1185,0,1
2,Payment,1764122354.395423,2045,0,1
1,NewOrder,1764122354.397478,4034,0,1
2,Payment,1764122354.401534,1818,0,1
1,NewOrder,1764122354.403368,3833,0,1
1,NewOrder,1764122354.407214,3582,0,1
1,NewOrder,1764122354.410803,2233,0,1
5,StockLevel,1764122354.413044,1830,0,1
2,Payment,1764122354.414877,1478,0,1
2,Payment,1764122354.416359,1182,0,1
2,Payment,1764122354.417546,1591,0,1
1,NewOrder,1764122354.419141,3097,0,1
1,NewOrder,1764122354.422246,2512,0,1
2,Payment,1764122354.424762,1594,0,1
5,StockLevel,1764122354.426360,2093,0,1
2,Payment,1764122354.428477,1280,0,1
1,NewOrder,1764122354.429765,2330,0,1
1,NewOrder,1764122354.432104,3055,0,1
2,Payment,1764122354.435177,1508,0,1
1,NewOrder,1764122354.436690,2150,0,1
1,NewOrder,1764122354.438858,2788,0,1
1,NewOrder,1764122354.441660,3343,0,1
2,Payment,1764122354.445042,1761,0,1
1,NewOrder,1764122354.446810,2585,0,1
2,Payment,1764122354.449401,1477,0,1
1,NewOrder,1764122354.450883,4726,0,1
1,NewOrder,1764122354.455629,2786,0,1
2,Payment,1764122354.458427,1337,0,1
2,Payment,1764122354.459771,1500,0,1
4,Delivery,1764122354.461279,8766,0,1
3,OrderStatus,1764122354.470058,463,0,1
2,Payment,1764122354.470525,1610,0,1
2,Payment,1764122354.472155,1480,0,1
1,NewOrder,1764122354.473650,3818,0,1
2,Payment,1764122354.477479,1141,0,1
2,Payment,1764122354.478624,1231,0,1
1,NewOrder,1764122354.479858,1940,0,1
1,NewOrder,1764122354.481805,3345,0,1
2,Payment,1764122354.485172,1688,0,1
1,NewOrder,1764122354.486867,3396,0,1
1,NewOrder,1764122354.490271,2538,0,1
2,Payment,1764122354.492813,1569,0,1
1,NewOrder,1764122354.494384,2799,0,1
2,Payment,1764122354.497187,1790,0,1
2,Payment,1764122354.498983,1048,0,1
